"month","division","line","day_type","category","count"
"2025-11-01","A DIVISION","7","1","Subway Car","1"
"2025-11-01","B DIVISION","A","1","Other","1"
"2025-11-01","B DIVISION","A","1","Persons on Trackbed/Police/Medical","1"
"2025-11-01","B DIVISION","A","1","Signals","3"
"2025-11-01","B DIVISION","A","1","Subway Car","1"
"2025-11-01","B DIVISION","B","1","Signals","1"
"2025-11-01","B DIVISION","B","1","Subway Car","1"
"2025-11-01","B DIVISION","B","1","Track","1"
"2025-11-01","B DIVISION","C","1","Signals","1"
"2025-11-01","B DIVISION","C","2","Persons on Trackbed/Police/Medical","1"
"2025-11-01","B DIVISION","D","1","Persons on Trackbed/Police/Medical","1"
"2025-11-01","B DIVISION","E","1","Stations and Structure","1"
"2025-11-01","B DIVISION","E","1","Subway Car","1"
"2025-11-01","B DIVISION","E","1","Track","1"
"2025-11-01","B DIVISION","F","1","Track","1"
"2025-11-01","B DIVISION","L","1","Persons on Trackbed/Police/Medical","1"
"2025-11-01","B DIVISION","L","1","Subway Car","1"
"2025-11-01","B DIVISION","M","1","Persons on Trackbed/Police/Medical","1"
"2025-11-01","B DIVISION","N","1","Persons on Trackbed/Police/Medical","1"
"2025-11-01","B DIVISION","N","1","Subway Car","2"
"2025-11-01","B DIVISION","N","1","Track","3"
"2025-11-01","B DIVISION","Q","1","Signals","1"
"2025-11-01","B DIVISION","R","1","Persons on Trackbed/Police/Medical","2"
"2025-11-01","B DIVISION","R","1","Signals","1"
"2025-11-01","B DIVISION","R","1","Track","1"
